web_scraper_order,web_scraper_start_url,title,data3,data4,data5
"1784883441-39","https://www.imdb.com/title/tt0109830/reviews/?ref_=tt_ov_ql_2","After 20 years, I still love Forrest Gump!","tavm","Sep 9, 2014","When I originally watched this with my mom 20 years ago, we both were pretty touched by the events of Forrest Gump's life and the way he handled things. So now, watching this in IMAX with my movie theatre-working friend, it's the same feelings all over again but now having some additional life experiences, one notices things one hadn't thought of before. Like how the first person who sits with Forrest on the park bench is so uninterested in his story she takes the wrong bus and admits it to him while the last one who sits with him doesn't take her scheduled one because she's so immersed in hearing about his life! Or how Jenny realizes how much she truly loves him despite the way she sometimes treated him. Robert Zemeckis truly made a very compelling picture. And Tom Hanks delivered a wonderful performance worthy of a second Oscar win. Nice humorous stuff involving Hanks mixed in real news footage of the various presidents. And great music soundtrack to mark the times they lived in. Oh, and I loved the supporting cast of Mykelti Williamson, Sally Field, Gary Sinise, and Robin Wright as Jenny. With all that said, I'll now just say that Forrest Gump is worth all the praise and adulation it has gotten over the years."
"1784883441-40","https://www.imdb.com/title/tt0109830/reviews/?ref_=tt_ov_ql_2","Life is like a box of chocolates. You never truly know what you're gonna get. Forrest Gump is amazing!","ironhorse_iv","Jul 30, 2016",""
"1784883441-41","https://www.imdb.com/title/tt0109830/reviews/?ref_=tt_ov_ql_2","Forrest, Forrest Gump.. The greatest.","matt722","Sep 6, 2015","There is an unfortunate time when you watch this film, its not the film thats the problem its my highly evident fear of the next few films I watch just seeming so bad. For simply not being this. Its everything. Its a romantic-comedy-tragedy-life-story-historical-personal- uplifting-war story. Every time I watch it I go on an emotional journey with the characters that are quickly built up in the world around Forrest. There is not much more I can say about this film that will say how much i like it, apart from award it the accolade that is; My favourite film. Over time the film stands up, the performances seem to get better knowing how Hanks has gone on to be a great actor. His supporting cast do a great job of making the world of the film feel believable."
"1784883441-42","https://www.imdb.com/title/tt0109830/reviews/?ref_=tt_ov_ql_2","Forrest has ""gumption""!","tommythek","Sep 29, 2001","Gumption: noun; common sense, horse sense, initiative, enterprise (Merriam-Webster). Chop off the back half of that word and you have Forrest Gump, a towering fountain of stand-alone common sense in a nonsensical world gone crazy.

In a recent letter, a friend told me that she had just watched ""Forrest Gump"" and that she ""loved that movie."" Although it had been some seven years since I had seen it, her comment to me reminded me that I, too, had once ""loved that movie."" When it suddenly showed up on TV last night, I felt the urge, the need, for a refresher course on what it is like to be a Forrest Gump in a world of schlumps, myself included. Moreover, I needed the sanity and serenity of Forrest Gump the man to assuage the insanity and unserenity that has been the month of September of 2001. I have been assuaged.

By now, almost anyone who watches movies has seen ""Forrest Gump."" At least once. Thus, we all know that it cannot be classified as a comedy. Nor as a drama. Nor an adventure. Nor a charmer. Nor a tearjerker. And yet, it is all of those things, all in one movie. ""Forrest Gump,"" when and as you are watching it, reminds you constantly that there IS good in the world. Even as you are watching bad events transpire in the movie, you seem to know that somehow, good will eventually result. That is because Forrest Gump is nearby -- around -- somewhere -- and wherever Forrest goes, goodness follows.

My favorite movie actor is, was and always will be Jimmy Stewart. With Jimmy gone and no longer with us, Tom Hanks has taken his place. In my heart. Just as Jimmy was in so very many of his famous and fabulous roles, Tom has become the American Everyman. He's the guy for whom you always root. You want him to triumph. You want him to get the girl. He HAS to get the girl! Even if the worth of the girl to be gotten is open to question, you STILL want him to get her, if only because he has always loved her and will always love her so unfailingly and so unconditionally. And when, at last, his unrequited love for his beloved Jenny (Robin Wright) is finally so deservedly rewarded, you feel as if you want to jump up and shout ... ""HALLELUJAH!!!"" Then, when Jenny tenderly tells Forrest that he is the father of her sweet little Forrest Jr., you think to yourself and you say to yourself, ""Yes, Self! That is right! That is as it should be!""

And that is right and that is as it should be about this entire movie. Even Lt. Dan (Gary Sinise), Forrest's self-loathing and loathable army buddy, is unable to avoid Forrest's goodness wearing off on him. Forrest ""touches"" everyone. And he doesn't even know it! He's just a guy living his life. He just ... is ... Forrest Gump, a guy with gumption in a gumptionless world.

I am so very glad and happy that my friend told me she saw ""Forrest Gump"" and that she ""loved that movie."" She spurred me to watch it once again. Having now done so, I feel that Forrest has restored both peace and love to my troubled mind and heart over the awful events of September of 2001. He is a reminder to us all that no matter how many Hitlers, Stalins and bin Ladens may rise and fall, we will always have a Forrest Gump to help pull us thru the evils that these evil men do. Peace and love to you, Forrest."
"1784883441-43","https://www.imdb.com/title/tt0109830/reviews/?ref_=tt_ov_ql_2","Masterpiece","chasedamovies1999","Mar 3, 2026","10/10 movie. One of my personal favorites. Easily top 3 movies of all time in my opinion. The storytelling and the soundtrack is what stands out the most but everything about the movie is great from the characters, to the actors, cinematography, directing, everything. All the emotions are felt in this movie as well. It's just a very well executed film from start to finish."
"1784883441-44","https://www.imdb.com/title/tt0109830/reviews/?ref_=tt_ov_ql_2","the masterpiece of this movie","roozanit","Apr 15, 2025","Few films manage to blend humor, history, drama, and inspiration as seamlessly as Forrest Gump (1994). Directed by Robert Zemeckis, this Academy Award-winning film is not just a story about one man's journey through life, but a profound exploration of destiny, love, and resilience. Anchored by a phenomenal performance by Tom Hanks, Forrest Gump remains one of the most beloved movies of all time, touching the hearts of audiences across generations.

At its core, Forrest Gump follows the life of Forrest, a man with a kind heart and unwavering optimism despite his intellectual limitations. His simple yet profound outlook on life leads him through incredible experiences-from meeting U. S. presidents to becoming a war hero and even influencing pop culture. What makes Forrest's journey so captivating is not just his luck or unusual encounters, but his sheer goodness and unwavering belief in doing the right thing.

Tom Hanks' Performance
Hanks' portrayal of Forrest is nothing short of extraordinary. His ability to deliver innocence and sincerity in every scene makes Forrest an unforgettable character. There is never a moment where Forrest feels forced or exaggerated-Hanks immerses himself in the role so authentically that audiences can't help but cheer for him. His soft-spoken mannerisms, his earnest expressions, and his heartfelt delivery of lines like ""Life is like a box of chocolates, you never know what you're gonna get"" have cemented Forrest as one of the most endearing characters in film history.

Brilliant Storytelling
The film's narrative is structured in an engaging way, effortlessly weaving Forrest's personal story with historical events. From the Vietnam War to the Watergate scandal, Forrest unwittingly finds himself in major moments of history, making his journey both entertaining and insightful. The seamless integration of historical footage and fictional storytelling is a testament to the film's technical brilliance, adding layers of realism and charm.

Beyond history, the emotional depth of the film shines through its relationships-particularly Forrest's love for Jenny (Robin Wright). Jenny's troubled past and self-destructive choices provide a heartbreaking contrast to Forrest's pure, unconditional love. Despite all her struggles, Forrest never stops caring for Jenny, proving that love is about patience and acceptance, not perfection.

Memorable Supporting Cast
The film's supporting characters add richness to Forrest's journey. Gary Sinise's Lt. Dan is a standout, portraying a man who goes from bitterness and despair to redemption and hope-all thanks to Forrest's unwavering belief in him. Lt. Dan's evolution is one of the most compelling arcs in the film, reinforcing the theme that life, no matter its hardships, offers second chances.

Similarly, Mykelti Williamson's Bubba provides warmth and humor, making his tragic fate even more impactful. Forrest's dedication to fulfilling Bubba's dream of a shrimp business adds another layer of emotional depth, showing his loyalty and kindness.

Emotional Impact and Legacy
Beyond its brilliant performances and storytelling, Forrest Gump is a deeply emotional film. It explores themes of fate, love, perseverance, and the unpredictability of life, leaving audiences with a sense of reflection. The film teaches us that intelligence does not define one's worth-kindness, determination, and love do.

From its breathtaking cinematography to Alan Silvestri's unforgettable score, every element of Forrest Gump contributes to its lasting impact. The film has inspired countless people to see life with hope and gratitude, making it a truly timeless masterpiece.

Nearly three decades after its release, Forrest Gump continues to move audiences, proving that sometimes the most extraordinary lives belong to the most unlikely heroes."
"1784883441-45","https://www.imdb.com/title/tt0109830/reviews/?ref_=tt_ov_ql_2","I liked it, but I did not love it","acedj","Nov 1, 2019","I get why so many people gush over this movie, I really do. I have watched it quite a few times myself. It is good to kill a few hours and be entertained. It ain't great though. The overwhelming emotion I feel for Forrest is pity, as he is strung along and used by the object of his affections. This is a decent movie, perhaps one of the best from Mr. Hanks, but I do not feel it deserves as much hype as it gets."
"1784883441-46","https://www.imdb.com/title/tt0109830/reviews/?ref_=tt_ov_ql_2","Could've Been","Ron-204","Jan 14, 2002","This movie has several elements for success in the right place, and could have been a true classic.  Ultimately, however, it is undermined by its own thinly-veiled moralizing and its whitewashing of social institutions and history.  This confection has an inviting, sugary coating of the sweetness of love and the matters of the heart, but has at its center the preaching of the ""moral value"" of social conformity."
"1784883441-47","https://www.imdb.com/title/tt0109830/reviews/?ref_=tt_ov_ql_2","The best movie of my life","xunav-38510","Mar 22, 2026","I've always felt a bit envious of people who, when asked about their favorite movie, can instantly name an old dramatic film without hesitation. I was always searching for a movie I could truly call my own favorite.

Now I think I've found it. I know that Forrest Gump is a classic choice and that almost everyone loves it, but I've found what I was looking for in this film. I can simply say: this is my favorite movie.

I won't go too deep into a review or explain why-I feel like anything I say would sound cliché.

But I don't recall any Hollywood movie ever making me shed a tear at the end except this one.

I found the film when it was mentioned in another movie, The Big Sick, when the father said to Kumail that the new generation doesn't find Forrest Gump very good. So I quickly went to look it up, saw that it stars Tom Hanks, and started watching it. I couldn't take my eyes off the screen until it ended."
"1784883441-48","https://www.imdb.com/title/tt0109830/reviews/?ref_=tt_ov_ql_2","Run Forrest, Run!!","pineow","Sep 8, 2023","What truly sets Forrest Gump apart is its ability to evoke a wide range of emotions. It seamlessly transitions from moments of laughter to heart-wrenching sadness, leaving audiences both smiling and teary-eyed. The film's touching themes of love, friendship, and the indomitable human spirit resonate with viewers on a profound level.

The film's visual effects, particularly the groundbreaking use of CGI to insert Forrest into historical footage, were groundbreaking for its time and still hold up today. Alan Silvestri's evocative musical score further enhances the storytelling, creating a memorable and iconic soundtrack. Its enduring popularity is a testament to its universal appeal and the power of storytelling. It reminds us that life is a box of chocolates, and you never know what you're going to get, but every moment is worth savoring. This film is a must-see for movie lovers and continues to be a source of inspiration and reflection for generations to come."
"1784883441-49","https://www.imdb.com/title/tt0109830/reviews/?ref_=tt_ov_ql_2","One of my favorite films","mateuszbovitz","Mar 26, 2021","The film was not watched only by the lazy. I watch this film quite often, and every time it gives me these unique emotions, raising my spirits. But! I couldn't get my girlfriend to watch it, I'm just confused! XD."
"1784883441-50","https://www.imdb.com/title/tt0109830/reviews/?ref_=tt_ov_ql_2","delicate  silhouette","Vincentiu","Feb 15, 2013","it is a beautiful film . for the slices of silence. it is a delicate work. for the unique performance of Tom Hanks. and, sure, it is a snow ball on the evening of Christmas Eve. in fact, it has not definition. only lines of feelings. and crumbs of childhood manner to discover the world. so, it remains magic and fascinating. because it keeps state of time and create another, very original form of line between reality and fiction. profound face of small things. and a travel to yourself with the others as borders. a fairy tale. and source of a form of emotion who remembers the real value of life. its purpose. its fake limits. form of deep freedom. axis of all - a delicate silhouette."
"1784883441-51","https://www.imdb.com/title/tt0109830/reviews/?ref_=tt_ov_ql_2","Timeless masterpiece, very unique","Horst_In_Translation","Nov 27, 2014",""
"1784883441-52","https://www.imdb.com/title/tt0109830/reviews/?ref_=tt_ov_ql_2","Favourite film of all time","charlotte-taylor-brown","Mar 13, 2016",""
"1784883441-53","https://www.imdb.com/title/tt0109830/reviews/?ref_=tt_ov_ql_2","A beautiful story.I can see why it won 6 Oscars.","sampj","Jun 1, 2007",""
"1784883441-54","https://www.imdb.com/title/tt0109830/reviews/?ref_=tt_ov_ql_2","magical movie!","talktomylittlefriend","May 26, 2005",""
"1784883441-55","https://www.imdb.com/title/tt0109830/reviews/?ref_=tt_ov_ql_2","Must watch!","aussieg","Jan 25, 2020","An absolutely remarkable film about a decent, humble man who throughout his life met a few presidents, fought in Vietnam, was a professional Ping Pong player and ran around the whole country of America while also meeting celebrities like John Lennon and Elvis Presley. A truly heart changing film that will change your life forever. After all this Forrest had an I.Q of 75 but that didn't stop him."
"1784883441-56","https://www.imdb.com/title/tt0109830/reviews/?ref_=tt_ov_ql_2","Repulsive","derzu_uzala","Jun 12, 2008","Because my English is not quite up to the task, I'm going to borrow the words of another reviewer from the UK: ""a nauseating piece of reactionary twaddle"". Frankly I couldn't put it better - this is right wing propaganda at its worst; all the more so because it's wrapped in (mostly) competent directing and acting (although Gary Sinise's ""performance"" is frankly irritating). Sorry let me rephrase and apologize to right-wing people, who are entitled to their political views: this movie is (bordering on) fascist propaganda.

There is so much to love about America, ""Forrest Gump"" brings out the worst in it. An insult to anyone's intelligence - I hope it gets remembered as the ""Leni Riefenstahl's movie"" of the Reagan area."
"1784883441-57","https://www.imdb.com/title/tt0109830/reviews/?ref_=tt_ov_ql_2","A Heartwarming Rendition Of Love, Loss, Redemption & Stupidity.","cinemasauron","May 11, 2016","Winner of 6 Academy Awards including Best Picture in the year that had heavyweights such as Quentin Tarantino's Pulp Fiction, Frank Darabont's The Shawshank Redemption & Disney's The Lion King, Forrest Gump isn't as impressive as the above-mentioned classics but its optimistic take on the unpredictability of life, stability between its genre elements, and a charismatic performance from Tom Hanks turns it into a cinema that's as heartwarming as it is amusing.

Based on the novel of the same name, Forrest Gump tells the story of its titular character, a simple-minded, kind-hearted & good-natured guy from Alabama whose life turns out to be a wicked blend of luck & destiny as he steers through as well as influences some of the historic moments of the second half of 20th century America. However, despite accomplishing great things in life, what he covets most is the love of the woman he grew up with, who never reciprocates his feelings.

Directed by Robert Zemeckis, Forrest Gump is a series of brief episodes stitched into one wonderfully layered tapestry and is expertly narrated from start to finish. There are a few hiccups in between but it is a smooth adventurous ride for the most part. Eric Roth's screenplay takes liberty with the source material but what's admirable about it is its relentless focus on the central character. It does allow its supporting characters to breathe but none of them have an arc that's compelling enough.

Production design team does a stellar job in recreating the time-specific surroundings. Visual effects is extensively applied throughout the story plus its tinkering with the archival footages of some of United States' most significant events of the later half of the 20th century was a VFX feat of its time. There aren't any glaring issues with its camera-work. Editing fails to give it a tightly- knitted structure, while the background score & incorporated songs are in sync with the unfolding events & depicted timeline.

Coming to the performances, Forrest Gump features a dependable cast in Tom Hanks, Robin Wright, Gary Sinise, Mykelti Williamson & Sally Field, and although everyone does well in their given roles, the film is powered by Hanks' outstanding performance. Fresh off his Oscar-winning role in Philadelphia, Hanks chips in with another smashing work and is the soul of this tale. And he's well supported by Sinise & Field who play Forrest's platoon leader & mother respectively while Wright ably portrays the self-destructive life of his love interest, Jenny.

On an overall scale, Forrest Gump often gets a lot of flak for stripping both Pulp Fiction & The Shawshank Redemption off their deserving accolades but it does have a heart & identity of its own. I wasn't very impressed by it during my first viewing but it has managed to grow on me over the years and now I do admire its positive outlook on life & the numerous mysteries it has in store. A delightful comedy, an emotionally resonant drama & nicely covering the themes of love, loss, redemption & stupidity, Forrest Gump is one of the best films of its year. Definitely recommended."
"1784883441-58","https://www.imdb.com/title/tt0109830/reviews/?ref_=tt_ov_ql_2","A man with a mental disability lives through and takes part in many points of history.","ageurin-334-631172","Mar 15, 2016","Without a doubt one of the greatest films ever to be shown on the silver screen and only solidified by a stellar performance by the cast and crew. One of the few films everyone can say they have at least seen once, this movie deserved every Oscar it won and will go down in history as one of the best and well-done films ever to be created. Many can say that this film does have some very minor issues, things such as the questionable moral depicted by the love interest, Jenny, throughout the course of the entire film. Some could take umbrage with the less-than amazing special effects (though the time of production should be added into context)."
"1784883441-59","https://www.imdb.com/title/tt0109830/reviews/?ref_=tt_ov_ql_2","Numersous Secrets to Success are Shown in ""Forrest Gump""","Wuchakk","Mar 11, 2014","YEAR OF RELEASE: 1994 WRITERS: Winston Groom (novel) and Eric Roth (screenplay) DIRECTOR: Robert Zemeckis RUNTIME: 2 hours 22 minutes

I haven't seen this film for about 7 years or so. Seeing it again I was reminded why this is one of my all-time favorite pictures.

THE PLOT: Tom Hanks plays Forrest Gump, a mildly retarded Alabaman who brushes shoulders with the key figures and events of the 50s through the early 80s. Due to hard work, focus and uncommon wisdom he is hugely successful at whatever he does (running, war hero, ping pong, shrimp fishing). Meanwhile, the one woman he loves in all the world, Jenny (Robin Wright Penn), flounders through life hopelessly trying to find fulfillment in the drug culture with all the wrong people.

""Forrest Gump"" is hugely entertaining on every level. It's a drama that skillfully includes both lighter, comedic moments and serious, tragic elements. If you've never seen it, don't think for a second that this is some average romantic comedy or goofball comedy. Far from it. I don't watch the Acadamy Awards or give any credence to their judgment (""American Beauty,"" best picture? Please) but ""Forrest Gump"" is one instance where they were absolutely right in regard to the Best Picture award.

Some have criticized the film as an imbecilic fantasy, arguing that a simpleton like Gump would never become successful. It's true that the picture exaggerates Forrest's successes and experiences, and in that sense it's not realistic, but the film plainly reveals WHY he experienced continued success throughout his life. We can all learn from these little gems of wisdom:

-- Whatever your I.Q., zero in on the areas for which you have a real talent.

-- Focus on those gifts and master them. In other words, don't be a jack of all trades. This is in line with the Russian proverb: ""If you chase 8 rabbits you'll catch none.""

-- Mastering your talents will take HARD WORK (which explains why lazy people are never wealthy, unless they inherit it).

-- Whatever you do, do it WITH ALL YOUR HEART.

-- Love deeply and cultivate deep loyalties (e.g. Jenny, Bubba & Lt. Dan). Loyalty is underrated.

-- Be patient and slow to judge (unless someone abuses another person).

-- Allow others the freedom to choose and make mistakes, even if it seems like it takes forever for them to learn from them.

-- If something or someone STINKS, reject it and stay away from it (remember the prostitute?).

-- Keep your word.

-- Pray and have FAITH.

-- Keep a humble spirit no matter how successful or great you become.

We can also learn lessons from Jenny: Trying to attain fulfillment through loose sex and foreign substances is a LOST cause. Recognize and embrace those who have your best interests in mind (i.e. those who truly love you and are loyal to you); stay away from people who use and abuse you.

From Lt. Dan (Gary Sinise) we learn a potent lesson about struggling with God to find true peace, success and reconciliation. Dan's all-out fight with God on the shrimp boat in the storm is potent and REAL. The great men and women of the bible experienced intense struggles with God: Most of the book of Job shows Job arguing with the Almighty and wanting to put Him on trial for crimes against humanity (!!); When God finally answers him Job falls to his face in humility and reverence. Jacob fought with God all night; the next day the Lord changed his name to Israel, which means ""struggles with God"" (Genesis 32:22-30). Also, remember Jesus' struggle with God and His will in the Garden of Gethsemane?

Another thing we can learn from Lt. Dan is that he was able to recognize a ""golden connection"" in Forrest. No one makes it alone, no one. They had help. Despite Forrest's lack of academic smarts, Dan recognized his wisdom and greatness; it attracted him and he respected it. Because of his link to Gump he became hugely successful. Remember: ""One day of favor is worth a lifetime of labor.""

Late in the film you'll see Lt. Dan and his Asian fiancé at Gump's wedding. Note how Dan LOOKS at Forrest when they greet each other. Dan shows the utmost love and respect for Gump and is in utter awe of his simple-minded greatness. (This is great acting on Sinise's part).

""Forrest Gump"" is a film gem to be RELISHED on many levels. Not only will you be incredibly entertained, you may learn a thing or two."
"1784883441-60","https://www.imdb.com/title/tt0109830/reviews/?ref_=tt_ov_ql_2","The best film for me","jimmyst-75481","May 11, 2016","The best film I have ever seen. If you are looking for something meaningful here's the stuff!!! Cinema is all about how it makes you feel. I think I felt in every possible way during this film at the right guantities the perfect moment. After this unsurpassed experience I became a better person or more specifically I knew how I wanted to be as a person. Life is all about goodness and how you can help your fellowman. You don't have to be smart, talented, gifted, handsome, tall. You only have to be hopeful. Have belief in your actions. Have belief in the world, even in the darkest hours. When you have witnessed pure love, affection, kindness there is only one thing to do. Share it, share it to the rest of the people. Even if people believe you're wrong and nothing will change. It will."
"1784883441-61","https://www.imdb.com/title/tt0109830/reviews/?ref_=tt_ov_ql_2","Forrest Gump","auuwws","Nov 3, 2020","A great movie, its great story and the story of Lieutenant Dan was sad, but I think it does not deserve the Academy Award for Best Film. I really enjoyed watching the movie and hated the character of Jenny."
"1784883441-62","https://www.imdb.com/title/tt0109830/reviews/?ref_=tt_ov_ql_2","Forrest Gump is one of the best movies that has been built in Hollywood.","biswasarjun","May 1, 2020","I didn't have a single moment of boredom while watching this movie.The story was beautiful. Each character is beautifully portrayed."
"1784883441-63","https://www.imdb.com/title/tt0109830/reviews/?ref_=tt_ov_ql_2","You can know what life is all about by watching it","satishforgod","Dec 16, 2020","This is a movie that should be watched by people who are keen to know the truths of life.."
"1784883441-64","https://www.imdb.com/title/tt0109830/reviews/?ref_=tt_ov_ql_2","Excellent","sujithvarma","Jul 29, 2007","One of the best movies I have ever seen - It made me realize truth and innocence still lives. The love he had was pure. I cried watching this movie. Also the way in which the story goes -the political element in it -very accurate and nice. Also every character in this film

100/100 for the director and story writer - Not to mention the extraordinary legend Tom Hanks....Tom Hanks, Robin Wright Penn, Gary Sinise, Mykelti Williamson - every one has played their part beautifully.

If U haven't seen this movie - you are missing one of the greatest movie ever made...."
"1784883441-65","https://www.imdb.com/title/tt0109830/reviews/?ref_=tt_ov_ql_2","A Perfect Film","gopikrishnan92","Jun 11, 2013","Wow. An incredible film. I watched many other movies of Tom Hanks, Now i understand that i made a great mistake by not watching this movie this long. This is such an epic. Terrific acting by Tom Hanks, dint knew that he was this versatile. The film just creates a very good feel inside you that even after watching it just hangs within your mind. Gump is spontaneous with great talent even though he looks retarded. Every scene in the movie drags our full attention into it, by the spontaneous actions of Gump. The movie's BGM is also perfect and syncs nicely with the scenes. Everything, everything is perfect for this film. Such films are extremely rare. This should have been a multi Oscar winner and indeed, it is. Watch it. No other words. Just watch and feel."
"1784883441-66","https://www.imdb.com/title/tt0109830/reviews/?ref_=tt_ov_ql_2","I used to love this movie.","MovieAddict2016","Sep 5, 2005","*** Momma used to say if you haven't seen this movie, skip the second paragraph, 'cause it's got some of 'dem magic spoilers *** 

Maybe my inner cynic finally got to me. I've seen ""Forrest Gump"" about seven or eight times altogether, and these last few viewing experiences left me with a bitter taste in my mouth.

A few years ago I praised this film for being delightful, warm, inspiring, epic, etc. It was one of my top-ten favorite films. I loved it.

I watched it again last night and was struck by how smug, contrived and self-conscious it is. It's almost sickeningly sweet - it's a fantasy (as I've always said) and all the characters live their lives to suit the story. I loved the poetic justice before - now it's kind of insulting.

The character of Jenny is, story-wise, a nice addition because all fairy tales have the hero and his girl. The setup is firm because it presents her as the only girl of Forrest's life, the one person who accepts him for who he is - as she grows up and changes he's always there for her. The ending is a nice full circle. But the fact that the film kills her off is too righteous. It's like, ""Hey, she did the sex, she did the drugs - SHE DIES! Who cares if she had a change of heart? She's a filthy skank!"" Forrest's ""Momma"" is a right-wing Christian fanatical who has an obsessive hold over Forrest. She's a bit like the mother in ""Bubble Boy,"" except in this films she's presented as a hero.

And finally we come to Tom Hanks as Forrest Gump. Last year I thought it was one of the all-time best performances in any film. Now, I can barely stand listening to him.

It's all so smug and annoyingly sweet. ""Would you like a choc'-uh-lut?"" You feel like slapping the guy. Then taking his darn ""walkin' shoes"" and throwing them in a pool of gasoline and lighting them on fire. Along with his box of chocolates.

Forrest's smug attitude is a bit too self-knowing for my tastes. It's like he's saying a big screw-you to all the people who disagree. He's Uncle Sam's Favorite American - the dumb guy who was too stoo-pid to say no to the government, and in return was awarded with millions of dollars and a happy, content life. All the Vietnam protesters were pigs, praise America.

As far as ""retard"" characters go, Dustin Hoffman is still my favorite. Leonardo DiCaprio in ""What's Eating Gilbert Grape?"" is really good, too. But Hanks' performance is just a bit too self-confident and mugging - it's too damn innocent and naive.

As I said, this used to be one of my very favorite movies. I loved it. It used to move me to tears at times. (Well, almost, anyway.) But I guess I've given my inner cynic too much room to grow - now I see it as a smug, annoying little journey through America's pop culture - with a message at its core that says, ""Don't mess with America - or you'll get the Gump."" America has enough blind love going already."
"1784883441-67","https://www.imdb.com/title/tt0109830/reviews/?ref_=tt_ov_ql_2","Good if you're looking for something to set your teeth on edge","Spleen","Sep 30, 1999","The other nominees for Best Picture of 1994 were `Pulp Fiction', `Four Weddings and a Funeral', `The Shawshank Redemption' and `Quiz Show'.  ANY ONE of these would have been a deserving winner (my personal favourite was probably `Quiz Show').  Yet, of course, the award went to `Forrest Gump'.  I took this as a deep personal affront.  I took every undeserved success and wreath of flowers laid at the door of this miserable film as a personal affront.  It was a standing insult to my belief that `Forrest Gump' was just too stupid to succeed for very long.  Ah, well.  Life imitates art.

Make no mistake: `Forrest Gump' is not just stupid but a hymn to stupidity, an extended celebration of stupidity as a virtue.  Gump is as innocent as they come and we're clearly meant to think that this is a good thing.  The trouble is that Gump has purchased his sainthood too cheaply.  He does not, for instance, display any real courage in the Vietnam War: he gives the appearance of courage only because he's too dumb to work out what's going on.  (If only a bomb had landed on his foot.  It would have knocked some of that insufferable self-assurance out of him, at the very least.)

The film is just one big, long appeal to the Pope to have Forrest Gump canonised, and is about as bearable as any such appeal - and, as is so often the case, the subject of this appeal is someone you wouldn't want to spend five minutes with.

`Forrest Gump' is one hundred and forty-two minutes long."
"1784883441-68","https://www.imdb.com/title/tt0109830/reviews/?ref_=tt_ov_ql_2","Forrest Gump","jboothmillard","Mar 11, 2005",""
"1784883441-69","https://www.imdb.com/title/tt0109830/reviews/?ref_=tt_ov_ql_2","A reasonably enjoyable romp through recent history and pop culture  any more than that and it's a crass conservative message (spoilers)","bob the moo","Nov 1, 2003",""
"1784883441-70","https://www.imdb.com/title/tt0109830/reviews/?ref_=tt_ov_ql_2","The Real movie","nobuyuki_shinoh","Mar 4, 2019","I would say within all the movies I have been watching, the movie Forest Gump is the one and only movie that I feel it is the real movie, to be honest, this movie should have been Oscar winner.
Except for the amazing war scenes on the movie, Forest Gump also succeeded in illustrating the whole development of the character from his childhood to his adult."
"1784883441-71","https://www.imdb.com/title/tt0109830/reviews/?ref_=tt_ov_ql_2","One movie thousand lessons.","ddelgerjamts","Mar 4, 2019","What a movie. This is so interesting movie in the world. I can't stop watching. I feel like there is too many things in this world I cannot solve...And to silly, stupid Forrest everything is simple and he don't want to solve.The promises that Forrest made to his mother, Bubba, Jenny and Lieutenant Dan were all kept. His love, passion, drive and spiritual understanding were all unconditional."
"1784883441-72","https://www.imdb.com/title/tt0109830/reviews/?ref_=tt_ov_ql_2","My best movie","yassine_azaou","Feb 8, 2019","This movie has a lot of meaning
The most important one, don't be smartass.
Just be a good person, honest and kind, and God will help you."
"1784883441-73","https://www.imdb.com/title/tt0109830/reviews/?ref_=tt_ov_ql_2","My favorite movie of all time","BlackDogCEO","Feb 18, 2019","I have watched this movie several times and shared with my children. Recommend to anyone that wants to feel good."
"1784883441-74","https://www.imdb.com/title/tt0109830/reviews/?ref_=tt_ov_ql_2","Run Forest,Run","mword-60551","Feb 15, 2019","This is a great film. love how it is a history like film"
